BARGE,SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,EXTERNALCODE,CODE,PORT_FROM,IE,SCOPEINLOCATION,SCOPEOUTLOCATION
AFS,38121,2026-02-04 08:00:00+00:00,2026-02-05 09:00:00+00:00,38121.0,AFS0757,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38121,2026-02-04 08:00:00+00:00,2026-02-05 09:00:00+00:00,38121.0,AFS0758,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38240,2026-02-06 18:30:00+00:00,2026-02-07 21:00:00+00:00,38240.0,AFS0759,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38240,2026-02-06 18:30:00+00:00,2026-02-07 21:00:00+00:00,38240.0,AFS0760,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38320,2026-02-10 08:00:00+00:00,2026-02-11 10:00:00+00:00,38320.0,AFS0761,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38320,2026-02-10 08:00:00+00:00,2026-02-11 10:00:00+00:00,38320.0,AFS0762,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38480,2026-02-14 15:00:00+00:00,2026-02-16 08:00:00+00:00,38480.0,AFS0763,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38480,2026-02-14 15:00:00+00:00,2026-02-16 08:00:00+00:00,38480.0,AFS0764,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38620,2026-02-18 07:00:00+00:00,2026-02-19 05:00:00+00:00,38620.0,AFS0765,TIEL,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
AFS,38620,2026-02-18 07:00:00+00:00,2026-02-19 05:00:00+00:00,38620.0,AFS0766,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
AFS,38764,2026-02-20 20:00:00+00:00,2026-02-21 18:00:00+00:00,38764.0,AFS0767,TIEL,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38764,2026-02-20 20:00:00+00:00,2026-02-21 18:00:00+00:00,38764.0,AFS0768,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38820,2026-02-23 20:00:00+00:00,2026-02-25 11:00:00+00:00,38820.0,AFS0769,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38820,2026-02-23 20:00:00+00:00,2026-02-25 11:00:00+00:00,38820.0,AFS0770,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38960,2026-02-26 16:00:00+00:00,2026-02-27 12:00:00+00:00,38960.0,AFS0771,TIEL,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
AFS,38960,2026-02-26 16:00:00+00:00,2026-02-27 12:00:00+00:00,38960.0,AFS0772,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
AFS,38983,2026-03-01 15:00:00+00:00,2026-03-02 12:00:00+00:00,38983.0,AFS0773,KAT,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AFS,38983,2026-03-01 15:00:00+00:00,2026-03-02 12:00:00+00:00,38983.0,AFS0774,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38102,2026-02-04 20:00:00+00:00,2026-02-05 08:00:00+00:00,38102.0,ALF1968,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38102,2026-02-04 20:00:00+00:00,2026-02-05 08:00:00+00:00,38102.0,ALF1969,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38361,2026-02-09 19:00:00+00:00,2026-02-10 14:00:00+00:00,38361.0,ALF1972,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38361,2026-02-09 19:00:00+00:00,2026-02-10 14:00:00+00:00,38361.0,ALF1973,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38460,2026-02-11 17:00:00+00:00,2026-02-12 13:00:00+00:00,38460.0,ALF1974,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38460,2026-02-11 17:00:00+00:00,2026-02-12 13:00:00+00:00,38460.0,ALF1975,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38680,2026-02-13 19:00:00+00:00,2026-02-14 19:00:00+00:00,38680.0,ALF1976,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38680,2026-02-13 19:00:00+00:00,2026-02-14 19:00:00+00:00,38680.0,ALF1977,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38660,2026-02-18 20:00:00+00:00,2026-02-19 12:00:00+00:00,,,,,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38821,2026-02-23 18:00:00+00:00,2026-02-25 08:00:00+00:00,38821.0,ALF1984,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,38821,2026-02-23 18:00:00+00:00,2026-02-25 08:00:00+00:00,38821.0,ALF1985,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALF,39020,2026-02-26 15:00:00+00:00,2026-02-27 12:00:00+00:00,,,,,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38100,2026-02-03 10:00:00+00:00,2026-02-04 07:00:00+00:00,38100.0,ALL0036,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38100,2026-02-03 10:00:00+00:00,2026-02-04 07:00:00+00:00,38100.0,ALL0037,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38180,2026-02-05 14:00:00+00:00,2026-02-06 14:00:00+00:00,38180.0,ALL0038,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38180,2026-02-05 14:00:00+00:00,2026-02-06 14:00:00+00:00,38180.0,ALL0039,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38360,2026-02-10 09:00:00+00:00,2026-02-11 08:00:00+00:00,38360.0,ALL0040,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38360,2026-02-10 09:00:00+00:00,2026-02-11 08:00:00+00:00,38360.0,ALL0041,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38501,2026-02-12 14:00:00+00:00,2026-02-13 15:00:00+00:00,38501.0,ALL0042,VEGHE,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
ALL,38501,2026-02-12 14:00:00+00:00,2026-02-13 15:00:00+00:00,38501.0,ALL0043,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
ALL,38545,2026-02-17 09:00:00+00:00,2026-02-18 08:00:00+00:00,38545.0,ALL0044,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38545,2026-02-17 09:00:00+00:00,2026-02-18 08:00:00+00:00,38545.0,ALL0045,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38661,2026-02-19 13:00:00+00:00,2026-02-20 12:00:00+00:00,38661.0,ALL0046,VEGHE,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
ALL,38661,2026-02-19 13:00:00+00:00,2026-02-20 12:00:00+00:00,38661.0,ALL0047,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
ALL,38861,2026-02-24 06:00:00+00:00,2026-02-25 12:00:00+00:00,38861.0,ALL0048,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38861,2026-02-24 06:00:00+00:00,2026-02-25 12:00:00+00:00,38861.0,ALL0049,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38980,2026-02-26 19:30:00+00:00,2026-02-27 12:00:00+00:00,38980.0,ALL0050,VEGHE,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
ALL,38980,2026-02-26 19:30:00+00:00,2026-02-27 12:00:00+00:00,38980.0,ALL0051,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMI,38120,2026-02-02 21:00:00+00:00,2026-02-04 08:00:00+00:00,38120.0,AMI0223,VEGHE,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
AMI,38120,2026-02-02 21:00:00+00:00,2026-02-04 08:00:00+00:00,38120.0,AMI0224,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
AMI,38221,2026-02-06 04:00:00+00:00,2026-02-07 20:00:00+00:00,38221.0,AMI0225,OSS,E,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMI,38221,2026-02-06 04:00:00+00:00,2026-02-07 20:00:00+00:00,38221.0,AMI0226,ROTTE,I,HEINENOORDTUNNEL,HEINENOORDTUNNEL
AMI,38321,2026-02-10 17:00:00+00:00,2026-02-11 12:00:00+00:00,38321.0,AMI0227,OSS,E,BRIENENOORDBRUG,HEINENOORDTUNNEL
AMI,38321,2026-02-10 17:00:00+00:00,2026-02-11 12:00:00+00:00,38321.0,AMI0228,ROTTE,I,BRIENENOORDBRUG,HEINENOORDTUNNEL
