SEQ,BARGE_ROT,CODE,IE,PORT_FROM,PORT_TO,LEG_DEPART_DT,LEG_ARRIVE_DT,SCOPEINLOCATION,SCOPEOUTLOCATION,VOYELM_TOTALTEU,VOYELM_TOTALWEIGHT,VOYELM_MAXTEU,VOYELM_MAXWEIGHT,VOYTERM_TOTAL20,VOYTERM_TOTAL30,VOYTERM_TOTAL40,VOYTERM_TOTAL45,VOYTERM_RESERVED20,VOYTERM_RESERVED30,VOYTERM_RESERVED40,UNITEXP_CONTAINER_COUNT
38121,AFS,AFS0757,E,KAT,ROTTE,2026-02-03 10:00:00+00:00,2026-02-04 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,67.0,208668.0,156.0,3000000.0,12.0,0.0,15.0,0.0,23.0,0.0,32.0,
38121,AFS,AFS0757,E,KAT,ROTTE,2026-02-03 10:00:00+00:00,2026-02-04 12:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,26.0,126468.0,156.0,3000000.0,12.0,0.0,15.0,0.0,23.0,0.0,32.0,
38121,AFS,AFS0758,I,ROTTE,KAT,2026-02-05 10:00:00+00:00,2026-02-06 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,155.0,934441.0,156.0,3000000.0,11.0,0.0,72.0,0.0,20.0,0.0,110.0,
38121,AFS,AFS0758,I,ROTTE,KAT,2026-02-05 10:00:00+00:00,2026-02-06 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,85.0,365409.0,156.0,3000000.0,11.0,0.0,72.0,0.0,20.0,0.0,110.0,
38240,AFS,AFS0759,E,TIEL,ROTTE,2026-02-05 16:00:00+00:00,2026-02-06 22:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,118.0,1111583.0,156.0,3000000.0,26.0,0.0,42.0,0.0,33.0,0.0,49.0,
38240,AFS,AFS0759,E,TIEL,ROTTE,2026-02-05 16:00:00+00:00,2026-02-06 22:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,72.0,332549.0,156.0,3000000.0,26.0,0.0,42.0,0.0,33.0,0.0,49.0,
38240,AFS,AFS0760,I,ROTTE,TIEL,2026-02-07 20:00:00+00:00,2026-02-09 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,156.0,1053672.0,156.0,3000000.0,14.0,0.0,71.0,0.0,0.0,0.0,98.0,
38240,AFS,AFS0760,I,ROTTE,TIEL,2026-02-07 20:00:00+00:00,2026-02-09 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,105.0,581635.0,156.0,3000000.0,14.0,0.0,71.0,0.0,0.0,0.0,98.0,
38240,AFS,AFS0760,I,ROTTE,TIEL,2026-02-07 20:00:00+00:00,2026-02-09 15:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,30.0,274131.0,156.0,3000000.0,14.0,0.0,71.0,0.0,0.0,0.0,98.0,
38320,AFS,AFS0761,E,OSS,ROTTE,2026-02-09 10:00:00+00:00,2026-02-10 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,115.0,403054.0,156.0,3000000.0,1.0,0.0,54.0,0.0,5.0,0.0,41.0,
38320,AFS,AFS0761,E,OSS,ROTTE,2026-02-09 10:00:00+00:00,2026-02-10 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,47.0,91900.0,156.0,3000000.0,1.0,0.0,54.0,0.0,5.0,0.0,41.0,
38320,AFS,AFS0761,E,OSS,ROTTE,2026-02-09 10:00:00+00:00,2026-02-10 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,73.0,321154.0,156.0,3000000.0,1.0,0.0,54.0,0.0,5.0,0.0,41.0,
38320,AFS,AFS0762,I,ROTTE,KAT,2026-02-11 10:00:00+00:00,2026-02-13 05:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,73.0,694263.0,156.0,3000000.0,11.0,0.0,52.0,0.0,0.0,0.0,0.0,
38320,AFS,AFS0762,I,ROTTE,KAT,2026-02-11 10:00:00+00:00,2026-02-13 05:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,27.0,387031.0,156.0,3000000.0,11.0,0.0,52.0,0.0,0.0,0.0,0.0,
38320,AFS,AFS0762,I,ROTTE,KAT,2026-02-11 10:00:00+00:00,2026-02-13 05:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,115.0,962134.0,156.0,3000000.0,11.0,0.0,52.0,0.0,0.0,0.0,0.0,
38480,AFS,AFS0763,E,VEGHE,ROTTE,2026-02-12 12:00:00+00:00,2026-02-14 20:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,4.0,43956.0,156.0,3000000.0,18.0,0.0,67.0,0.0,0.0,0.0,0.0,15.0
38480,AFS,AFS0763,E,VEGHE,ROTTE,2026-02-12 12:00:00+00:00,2026-02-14 20:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,35.0,109677.0,156.0,3000000.0,18.0,0.0,67.0,0.0,0.0,0.0,0.0,15.0
38480,AFS,AFS0763,E,VEGHE,ROTTE,2026-02-12 12:00:00+00:00,2026-02-14 20:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,62.0,276467.0,156.0,3000000.0,18.0,0.0,67.0,0.0,0.0,0.0,0.0,15.0
38480,AFS,AFS0763,E,VEGHE,ROTTE,2026-02-12 12:00:00+00:00,2026-02-14 20:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,152.0,451967.0,156.0,3000000.0,18.0,0.0,67.0,0.0,0.0,0.0,0.0,15.0
