SEQ,PLANNED_IN_DT,PLANNED_OUT_DT,SCOPEINLOCATION,SCOPEOUTLOCATION,EXTERNALCODE,CODE,IE,PORT_FROM,VOYELM_TOTALTEU,VOYELM_TOTALWEIGHT,VOYELM_MAXTEU,TOTAL20,TOTAL30,TOTAL40,UNITEXP_VOYAGE_EXP
38061,2026-02-02 07:00:00+00:00,2026-02-02 22:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38061.0,"ANT0760,ANT0761","E,I","ROTTE,VEGHE",295.0,776218.0,156.0,34.0,0.0,111.0,0
38082,2026-02-03 10:00:00+00:00,2026-02-04 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38082.0,"MEY0156,MEY0157","E,I","ROTTE,TIEL",231.5,1298777.0,156.0,0.0,0.0,69.0,0
38100,2026-02-03 10:00:00+00:00,2026-02-04 07:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38100.0,"ALL0036,ALL0037","E,I","ROTTE,VEGHE",0.0,0.0,90.0,40.0,0.0,14.0,0
38102,2026-02-04 20:00:00+00:00,2026-02-05 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38102.0,"ALF1968,ALF1969","E,I","ROTTE,VEGHE",0.0,0.0,90.0,24.0,0.0,27.0,0
38120,2026-02-02 21:00:00+00:00,2026-02-04 08:00:00+00:00,BRIENENOORDBRUG,HEINENOORDTUNNEL,38120.0,"AMI0223,AMI0224","E,I","ROTTE,VEGHE",524.0,3834228.0,208.0,36.0,0.0,163.0,0
38121,2026-02-04 08:00:00+00:00,2026-02-05 09:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38121.0,"AFS0757,AFS0758","E,I","KAT,ROTTE",333.0,1634986.0,156.0,23.0,0.0,87.0,0
38122,2026-02-09 07:30:00+00:00,2026-02-10 08:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38122.0,"ANT0764,ANT0765","E,I","ROTTE,VEGHE",367.0,969648.0,156.0,39.0,0.0,107.0,0
38140,2026-02-02 15:00:00+00:00,2026-02-03 06:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38140.0,"LRD0212,LRD0213","E,I","OSS,ROTTE",235.0,3830654.0,105.0,46.0,0.0,58.0,0
38160,2026-02-03 14:30:00+00:00,2026-02-04 05:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38160.0,"FRS0860,FRS0861","E,I","OSS,ROTTE",461.0,3281621.0,156.0,29.0,0.0,139.0,0
38161,2026-02-08 18:00:00+00:00,2026-02-09 10:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38161.0,"MEY0160,MEY0161","E,I","OSS,ROTTE",287.0,2159142.0,156.0,20.0,0.0,84.0,0
38162,2026-02-04 10:00:00+00:00,2026-02-04 20:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38162.0,VIC2713,E,VEGHE,0.0,0.0,104.0,0.0,0.0,54.0,0
38180,2026-02-05 14:00:00+00:00,2026-02-06 14:00:00+00:00,HEINENOORDTUNNEL,HEINENOORDTUNNEL,38180.0,"ALL0038,ALL0039","E,I","ROTTE,VEGHE",76.0,583200.0,90.0,6.0,0.0,17.0,0
